Scenario,Pattern,Text Length,Algorithm,Matches,Build Time (ms),Match Time (ms),Total Time (ms),Memory Used (KB),Structure Nodes,Structure Size (KB)
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1024,min-DFA,0,4.305,0.091,4.396,1792200.00,21,0.55
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,NFA,1,0.187,0.609,0.796,149728.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,NFA+DFA-cache,1,0.465,0.941,1.406,152624.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,DFA,1,0.379,0.110,0.489,261360.00,32,0.57
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,min-DFA,1,1.713,0.106,1.819,675200.00,25,0.47
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,NFA (with prefilter),1,0.256,0.205,0.461,190632.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,NFA+DFA-cache (with prefilter),1,0.319,0.180,0.499,193456.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,DFA (with prefilter),1,0.505,0.145,0.650,300016.00,64,0.71
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1024,min-DFA (with prefilter),1,1.882,0.054,1.936,716016.00,57,0.61
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,NFA,1,0.097,9.562,9.658,47536.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,NFA+DFA-cache,1,0.090,2.973,3.062,46088.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,DFA,1,0.459,0.354,0.812,325280.00,15,0.66
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,min-DFA,1,0.929,0.303,1.231,444312.00,14,0.62
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,NFA (with prefilter),1,0.149,9.868,10.017,62088.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,NFA+DFA-cache (with prefilter),1,0.203,5.986,6.189,62088.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,DFA (with prefilter),1,0.613,0.328,0.941,341216.00,29,0.75
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1024,min-DFA (with prefilter),1,0.744,0.389,1.133,490552.00,28,0.70
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,NFA,0,0.271,2.053,2.325,249272.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,NFA+DFA-cache,0,0.347,3.738,4.085,249272.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,DFA,0,0.634,0.123,0.757,440584.00,45,0.83
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,min-DFA,0,3.874,0.094,3.969,1306624.00,28,0.56
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,NFA (with prefilter),0,0.393,1.299,1.692,301976.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,NFA+DFA-cache (with prefilter),0,0.416,2.008,2.425,309848.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,DFA (with prefilter),0,0.710,0.191,0.901,498032.00,90,0.99
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1024,min-DFA (with prefilter),0,3.157,0.095,3.252,1368128.00,73,0.72
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,NFA,7,0.243,1.924,2.166,160528.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,NFA+DFA-cache,7,0.148,3.423,3.571,150864.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,DFA,7,1.144,0.128,1.271,850896.00,34,1.38
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,min-DFA,7,2.131,0.104,2.235,1174160.00,27,1.05
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,NFA (with prefilter),7,0.304,1.645,1.949,186432.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,NFA+DFA-cache (with prefilter),7,0.287,2.505,2.792,193064.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,DFA (with prefilter),7,1.109,0.217,1.327,881808.00,51,1.47
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1024,min-DFA (with prefilter),7,2.185,0.192,2.377,1202136.00,44,1.14
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,NFA,1,0.140,30.727,30.867,66128.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,NFA+DFA-cache,1,0.117,6.381,6.498,68240.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,DFA,1,0.427,1.377,1.804,286056.00,19,0.69
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,min-DFA,1,1.139,1.349,2.488,522496.00,16,0.59
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,NFA (with prefilter),1,0.161,1.146,1.307,87008.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,NFA+DFA-cache (with prefilter),1,0.150,0.435,0.584,82808.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,DFA (with prefilter),1,0.585,0.178,0.763,307160.00,33,0.78
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1024,min-DFA (with prefilter),1,1.057,0.100,1.157,490560.00,30,0.68
Prefilter - Code Keywords,(function|class|const|return|import),1024,Aho-Corasick,0,0.040,0.136,0.176,20288.00,30,0.11
Prefilter - Code Keywords,(function|class|const|return|import),1024,NFA,0,0.183,1.528,1.711,116008.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),1024,NFA+DFA-cache,0,0.178,2.742,2.920,116008.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),1024,DFA,0,0.412,0.100,0.512,210520.00,30,0.53
Prefilter - Code Keywords,(function|class|const|return|import),1024,min-DFA,0,1.255,0.099,1.354,491704.00,24,0.44
Prefilter - Code Keywords,(function|class|const|return|import),1024,NFA (with prefilter),0,0.311,0.127,0.438,143592.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),1024,NFA+DFA-cache (with prefilter),0,0.239,0.038,0.276,145688.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),1024,DFA (with prefilter),0,0.427,0.159,0.586,239568.00,60,0.64
Prefilter - Code Keywords,(function|class|const|return|import),1024,min-DFA (with prefilter),0,1.400,0.033,1.433,536696.00,54,0.55
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,NFA,0,0.195,1.038,1.233,145144.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,NFA+DFA-cache,0,0.182,2.177,2.359,147272.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,DFA,0,0.428,0.114,0.542,263760.00,31,0.57
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,min-DFA,0,1.501,0.108,1.609,593544.00,23,0.45
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,NFA (with prefilter),0,0.294,0.968,1.262,184544.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,NFA+DFA-cache (with prefilter),0,0.366,1.718,2.084,186944.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,DFA (with prefilter),0,0.409,0.156,0.565,303584.00,62,0.70
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1024,min-DFA (with prefilter),0,1.539,0.131,1.669,633536.00,54,0.58
Edge Case - No Matches,xyz,1024,KMP,0,0.001,0.010,0.010,1264.00,,
Edge Case - No Matches,xyz,1024,Boyer-Moore,0,0.000,0.033,0.033,4048.00,,
Edge Case - No Matches,xyz,1024,NFA,0,0.038,0.459,0.497,8344.00,6,0.14
Edge Case - No Matches,xyz,1024,NFA+DFA-cache,0,0.034,0.694,0.728,8344.00,6,0.14
Edge Case - No Matches,xyz,1024,DFA,0,0.073,0.092,0.164,17832.00,4,0.10
Edge Case - No Matches,xyz,1024,min-DFA,0,0.153,0.091,0.244,33840.00,4,0.10
Edge Case - Many Matches,a,1024,KMP,37,0.000,0.014,0.014,4440.00,,
Edge Case - Many Matches,a,1024,Boyer-Moore,37,0.000,0.097,0.097,6368.00,,
Edge Case - Many Matches,a,1024,NFA,37,0.023,0.463,0.486,3664.00,2,0.07
Edge Case - Many Matches,a,1024,NFA+DFA-cache,37,0.019,0.783,0.803,3664.00,2,0.07
Edge Case - Many Matches,a,1024,DFA,37,0.043,0.099,0.142,7408.00,2,0.07
Edge Case - Many Matches,a,1024,min-DFA,37,0.078,0.086,0.164,13496.00,2,0.07
Edge Case - Universal Wildcard,.*,1024,NFA,29,0.032,0.805,0.837,5376.00,4,0.12
Edge Case - Universal Wildcard,.*,1024,NFA+DFA-cache,29,0.030,0.918,0.948,4192.00,4,0.12
Edge Case - Universal Wildcard,.*,1024,DFA,29,0.074,0.080,0.154,14456.00,2,0.09
Edge Case - Universal Wildcard,.*,1024,min-DFA,29,0.100,0.085,0.185,19416.00,1,0.07
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,NFA,0,0.130,1.073,1.203,105776.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,NFA+DFA-cache,0,0.150,2.161,2.311,105776.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,DFA,0,93.403,1.752,95.156,3479400.00,4097,133.04
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,min-DFA,0,496.988,1.767,498.755,14395112.00,4096,132.63
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,NFA (with prefilter),0,0.256,0.972,1.228,138888.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,NFA+DFA-cache (with prefilter),0,0.222,1.848,2.070,130168.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,DFA (with prefilter),0,91.996,1.465,93.461,7751320.00,4102,133.12
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1024,min-DFA (with prefilter),0,484.363,1.533,485.896,12047040.00,4101,132.71
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,NFA,1,0.107,1.192,1.299,59088.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,NFA+DFA-cache,1,0.095,2.333,2.428,59088.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,DFA,1,0.229,0.108,0.337,121152.00,19,0.34
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,min-DFA,1,0.707,0.084,0.791,278656.00,16,0.30
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,NFA (with prefilter),1,0.171,0.236,0.407,78896.00,61,1.02
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,NFA+DFA-cache (with prefilter),1,0.146,0.260,0.406,82704.00,61,1.02
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,DFA (with prefilter),1,0.308,0.146,0.454,141944.00,38,0.44
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1024,min-DFA (with prefilter),1,0.778,0.053,0.831,302256.00,35,0.39
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,Aho-Corasick,0,0.033,0.125,0.158,15816.00,23,0.09
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,NFA,0,0.102,1.051,1.153,73608.00,48,1.05
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,NFA+DFA-cache,0,0.111,2.001,2.112,69920.00,48,1.05
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,DFA,0,0.274,0.100,0.374,144896.00,23,0.41
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,min-DFA,0,0.894,0.101,0.995,354984.00,21,0.38
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,NFA (with prefilter),0,0.178,0.150,0.328,95792.00,71,1.14
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,NFA+DFA-cache (with prefilter),0,0.173,0.035,0.208,95400.00,71,1.14
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,DFA (with prefilter),0,0.328,0.130,0.458,167080.00,46,0.50
Performance - Sparse Matches,(rare|uncommon|infrequent),1024,min-DFA (with prefilter),0,1.057,0.034,1.091,376760.00,44,0.47
Performance - Dense Matches,(a|e|i|o|u),1024,Aho-Corasick,242,0.025,0.173,0.198,5384.00,6,0.08
Performance - Dense Matches,(a|e|i|o|u),1024,NFA,242,0.052,1.742,1.793,19760.00,18,0.42
Performance - Dense Matches,(a|e|i|o|u),1024,NFA+DFA-cache,242,0.056,2.844,2.900,18096.00,18,0.42
Performance - Dense Matches,(a|e|i|o|u),1024,DFA,242,0.170,0.118,0.288,44512.00,6,0.14
Performance - Dense Matches,(a|e|i|o|u),1024,min-DFA,242,0.258,0.097,0.355,58888.00,2,0.10
Performance - Alternation vs Star,(abc|abd|abe)*,1024,NFA,996,0.083,1.126,1.209,31856.00,24,0.54
Performance - Alternation vs Star,(abc|abd|abe)*,1024,NFA+DFA-cache,996,0.067,2.364,2.431,32072.00,24,0.54
Performance - Alternation vs Star,(abc|abd|abe)*,1024,DFA,996,0.144,0.124,0.268,66832.00,6,0.15
Performance - Alternation vs Star,(abc|abd|abe)*,1024,min-DFA,996,0.233,0.112,0.345,89120.00,3,0.10
Short Literal - Small Text,abc,1048576,KMP,0,0.000,6.327,6.328,1264.00,,
Short Literal - Small Text,abc,1048576,Boyer-Moore,0,0.000,9.442,9.442,5392.00,,
Short Literal - Small Text,abc,1048576,NFA,0,0.040,335.146,335.186,8200.00,6,0.14
Short Literal - Small Text,abc,1048576,NFA+DFA-cache,0,0.041,196.622,196.663,8200.00,6,0.14
Short Literal - Small Text,abc,1048576,DFA,0,0.098,45.333,45.430,17688.00,4,0.10
Short Literal - Small Text,abc,1048576,min-DFA,0,0.156,45.949,46.105,33696.00,4,0.10
Short Literal - Large Text,the,1048576,KMP,17160,0.000,7.758,7.758,1794584.00,,
Short Literal - Large Text,the,1048576,Boyer-Moore,17160,0.000,12.197,12.197,1798680.00,,
Short Literal - Large Text,the,1048576,NFA,17160,0.045,355.679,355.724,8200.00,6,0.14
Short Literal - Large Text,the,1048576,NFA+DFA-cache,17160,0.038,215.442,215.479,8200.00,6,0.14
Short Literal - Large Text,the,1048576,DFA,17160,0.104,47.161,47.265,17688.00,4,0.10
Short Literal - Large Text,the,1048576,min-DFA,17160,0.151,48.346,48.497,33696.00,4,0.10
Long Literal - Small Text,abcdefghijklmnop,1048576,KMP,0,0.000,6.226,6.226,1080.00,,
Long Literal - Small Text,abcdefghijklmnop,1048576,Boyer-Moore,0,0.000,2.889,2.889,8096.00,,
Long Literal - Small Text,abcdefghijklmnop,1048576,NFA,0,0.067,333.944,334.011,47432.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,1048576,NFA+DFA-cache,0,0.080,200.098,200.177,47432.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,1048576,DFA,0,0.215,49.545,49.760,95552.00,17,0.30
Long Literal - Small Text,abcdefghijklmnop,1048576,min-DFA,0,0.601,45.717,46.317,238600.00,17,0.30
Long Literal - Large Text,constitution,1048576,KMP,8,0.000,5.993,5.993,1792.00,,
Long Literal - Large Text,constitution,1048576,Boyer-Moore,8,0.001,3.247,3.248,7016.00,,
Long Literal - Large Text,constitution,1048576,NFA,8,0.054,352.294,352.348,32400.00,24,0.52
Long Literal - Large Text,constitution,1048576,NFA+DFA-cache,8,0.056,194.832,194.888,32400.00,24,0.52
Long Literal - Large Text,constitution,1048576,DFA,8,0.188,45.212,45.400,68048.00,13,0.23
Long Literal - Large Text,constitution,1048576,min-DFA,8,0.477,44.606,45.082,181744.00,13,0.23
Simple Regex - Dot,a.c,1048576,NFA,1716,0.037,364.828,364.865,8192.00,6,0.15
Simple Regex - Dot,a.c,1048576,NFA+DFA-cache,1716,0.044,245.239,245.283,8192.00,6,0.15
Simple Regex - Dot,a.c,1048576,DFA,1716,0.108,47.821,47.929,17520.00,4,0.11
Simple Regex - Dot,a.c,1048576,min-DFA,1716,0.138,48.835,48.972,33464.00,4,0.11
Simple Regex - Star,ab*c,1048576,NFA,2589,0.044,367.328,367.371,9968.00,8,0.19
Simple Regex - Star,ab*c,1048576,NFA+DFA-cache,2589,0.042,217.279,217.321,9968.00,8,0.19
Simple Regex - Star,ab*c,1048576,DFA,2589,0.124,45.791,45.916,24968.00,4,0.11
Simple Regex - Star,ab*c,1048576,min-DFA,2589,0.166,46.419,46.585,39560.00,3,0.09
Complex Regex - Alternation,(cat|dog|bird),1048576,Aho-Corasick,260,0.029,47.771,47.800,8128.00,11,0.08
Complex Regex - Alternation,(cat|dog|bird),1048576,NFA,260,0.063,870.932,870.996,30912.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),1048576,NFA+DFA-cache,260,0.068,935.250,935.319,30912.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),1048576,DFA,260,0.205,51.535,51.740,66088.00,11,0.21
Complex Regex - Alternation,(cat|dog|bird),1048576,min-DFA,260,0.389,48.107,48.496,127528.00,9,0.18
Complex Regex - Alternation,(cat|dog|bird),1048576,NFA (with prefilter),260,0.121,58.419,58.540,44944.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),1048576,NFA+DFA-cache (with prefilter),260,0.138,64.933,65.071,44944.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),1048576,DFA (with prefilter),260,0.234,46.689,46.923,80120.00,22,0.29
Complex Regex - Alternation,(cat|dog|bird),1048576,min-DFA (with prefilter),260,0.427,27.689,28.116,141560.00,20,0.26
Complex Regex - Multiple Operators,(a|b).*c,1048576,NFA,9736,0.057,1386.451,1386.508,13952.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,1048576,NFA+DFA-cache,9736,0.060,998.779,998.839,13952.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,1048576,DFA,9736,0.184,89.275,89.459,47040.00,5,0.17
Complex Regex - Multiple Operators,(a|b).*c,1048576,min-DFA,9736,0.213,87.943,88.156,64944.00,3,0.12
Complex Regex,(a|b)*c(d|e)*,1048576,NFA,21356,0.062,999.325,999.388,20656.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,1048576,NFA+DFA-cache,21356,0.061,1059.830,1059.891,20656.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,1048576,DFA,21356,0.178,50.985,51.164,75432.00,6,0.19
Complex Regex,(a|b)*c(d|e)*,1048576,min-DFA,21356,0.216,48.997,49.213,88320.00,2,0.10
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1048576,NFA,71,0.420,2197.623,2198.043,373728.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1048576,NFA+DFA-cache,71,0.433,2422.950,2423.383,373728.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1048576,DFA,71,0.988,60.754,61.743,774520.00,52,1.28
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1048576,min-DFA,71,4.347,55.081,59.427,1792064.00,21,0.55
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,NFA,902,0.196,391.931,392.127,152480.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,NFA+DFA-cache,902,0.194,272.471,272.664,152480.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,DFA,902,0.480,52.497,52.977,261216.00,32,0.57
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,min-DFA,902,1.775,49.385,51.160,675128.00,25,0.47
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,NFA (with prefilter),902,0.343,54.435,54.778,190400.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,NFA+DFA-cache (with prefilter),902,0.281,89.597,89.878,190400.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,DFA (with prefilter),902,0.494,42.050,42.544,299064.00,64,0.71
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),1048576,min-DFA (with prefilter),902,1.801,26.312,28.113,712872.00,57,0.61
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,NFA,2352,0.079,5258.399,5258.478,47984.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,NFA+DFA-cache,2352,0.092,1353.832,1353.924,47984.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,DFA,2352,0.577,227.736,228.313,326784.00,15,0.66
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,min-DFA,2352,0.812,216.946,217.759,444152.00,14,0.62
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,NFA (with prefilter),2352,0.147,5634.441,5634.588,64088.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,NFA+DFA-cache (with prefilter),2352,0.150,1277.874,1278.025,64088.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,DFA (with prefilter),2352,0.564,218.776,219.340,342784.00,29,0.75
Prefilter - Common Suffixes, (.*)(tion|ment|ness),1048576,min-DFA (with prefilter),2352,0.902,216.219,217.121,460192.00,28,0.70
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,NFA,102,0.251,1673.523,1673.774,249128.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,NFA+DFA-cache,102,0.333,1987.884,1988.217,249128.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,DFA,102,0.681,53.104,53.785,440680.00,45,0.83
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,min-DFA,102,3.860,49.316,53.176,1306744.00,28,0.56
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,NFA (with prefilter),102,0.387,543.513,543.900,307008.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,NFA+DFA-cache (with prefilter),102,0.376,606.990,607.366,307008.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,DFA (with prefilter),102,0.776,41.282,42.059,497984.00,90,0.99
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),1048576,min-DFA (with prefilter),102,3.932,40.542,44.474,1364632.00,73,0.72
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,NFA,7678,0.218,1799.223,1799.441,162376.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,NFA+DFA-cache,7678,0.247,1927.365,1927.612,162376.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,DFA,7678,1.148,61.281,62.430,853920.00,34,1.38
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,min-DFA,7678,2.131,58.666,60.797,1174168.00,27,1.05
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,NFA (with prefilter),7678,0.261,1635.632,1635.893,190096.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,NFA+DFA-cache (with prefilter),7678,0.274,1706.259,1706.534,190096.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,DFA (with prefilter),7678,1.175,73.832,75.007,881552.00,51,1.47
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),1048576,min-DFA (with prefilter),7678,2.257,65.595,67.852,1201800.00,44,1.14
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,NFA,1,0.124,21796.887,21797.011,68096.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,NFA+DFA-cache,1,0.105,2384.799,2384.905,68096.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,DFA,1,0.461,1321.755,1322.216,285880.00,19,0.69
