Scenario,Pattern,Text Length,Algorithm,Matches,Build Time (ms),Match Time (ms),Total Time (ms),Memory Used (KB),Structure Nodes,Structure Size (KB)
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),10240,NFA (with prefilter),4,0.295,1.076,1.371,191656.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),10240,NFA+DFA-cache (with prefilter),4,0.267,0.534,0.801,191264.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),10240,DFA (with prefilter),4,0.515,0.812,1.327,301040.00,64,0.71
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),10240,min-DFA (with prefilter),4,1.779,0.304,2.082,694952.00,57,0.61
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,NFA,31,0.090,90.729,90.819,47784.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,NFA+DFA-cache,31,0.136,27.776,27.912,48232.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,DFA,31,0.436,2.915,3.351,324792.00,15,0.66
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,min-DFA,31,0.825,2.883,3.709,444312.00,14,0.62
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,NFA (with prefilter),31,0.149,87.812,87.961,62536.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,NFA+DFA-cache (with prefilter),31,0.155,27.507,27.663,64680.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,DFA (with prefilter),31,0.511,3.063,3.574,348768.00,29,0.75
Prefilter - Common Suffixes, (.*)(tion|ment|ness),10240,min-DFA (with prefilter),31,0.849,2.971,3.820,460392.00,28,0.70
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,NFA,0,0.364,21.210,21.574,247232.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,NFA+DFA-cache,0,0.323,36.443,36.766,249216.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,DFA,0,0.653,0.589,1.242,440096.00,45,0.83
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,min-DFA,0,3.996,0.527,4.523,1306720.00,28,0.56
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,NFA (with prefilter),0,0.363,9.033,9.396,308520.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,NFA+DFA-cache (with prefilter),0,0.398,16.219,16.617,308072.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,DFA (with prefilter),0,0.664,0.970,1.634,493976.00,90,0.99
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),10240,min-DFA (with prefilter),0,4.043,0.459,4.501,1368056.00,73,0.72
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,NFA,62,0.241,22.776,23.017,160528.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,NFA+DFA-cache,62,0.186,35.952,36.138,162608.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,DFA,62,1.273,0.649,1.922,899128.00,34,1.38
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,min-DFA,62,1.956,0.650,2.606,1015568.00,27,1.05
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,NFA (with prefilter),62,0.251,25.471,25.722,187896.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,NFA+DFA-cache (with prefilter),62,0.301,25.441,25.741,189800.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,DFA (with prefilter),62,1.058,1.038,2.096,877728.00,51,1.47
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),10240,min-DFA (with prefilter),62,2.224,0.645,2.869,1205416.00,44,1.14
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,NFA,1,0.209,248.109,248.319,65296.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,NFA+DFA-cache,1,0.104,44.917,45.022,66848.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,DFA,1,0.516,12.888,13.404,286048.00,19,0.69
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,min-DFA,1,1.169,12.451,13.620,522496.00,16,0.59
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,NFA (with prefilter),1,0.208,1.923,2.130,87456.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,NFA+DFA-cache (with prefilter),1,0.163,0.615,0.778,87064.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,DFA (with prefilter),1,0.565,0.812,1.377,305264.00,33,0.78
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),10240,min-DFA (with prefilter),1,1.250,0.255,1.505,544520.00,30,0.68
Prefilter - Code Keywords,(function|class|const|return|import),10240,Aho-Corasick,1,0.044,1.107,1.150,21248.00,30,0.11
Prefilter - Code Keywords,(function|class|const|return|import),10240,NFA,1,0.170,20.985,21.155,116008.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),10240,NFA+DFA-cache,1,0.133,32.051,32.183,112080.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),10240,DFA,1,0.356,0.691,1.046,226168.00,30,0.53
Prefilter - Code Keywords,(function|class|const|return|import),10240,min-DFA,1,1.345,0.564,1.909,503744.00,24,0.44
Prefilter - Code Keywords,(function|class|const|return|import),10240,NFA (with prefilter),1,0.267,0.941,1.208,144552.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),10240,NFA+DFA-cache (with prefilter),1,0.259,0.531,0.790,149864.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),10240,DFA (with prefilter),1,0.426,0.812,1.238,241552.00,60,0.64
Prefilter - Code Keywords,(function|class|const|return|import),10240,min-DFA (with prefilter),1,1.430,0.239,1.669,534384.00,54,0.55
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,NFA,0,0.190,10.053,10.243,147272.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,NFA+DFA-cache,0,0.204,19.964,20.168,143104.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,DFA,0,0.397,0.589,0.985,259592.00,31,0.57
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,min-DFA,0,1.624,0.562,2.186,593584.00,23,0.45
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,NFA (with prefilter),0,0.261,9.185,9.446,182440.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,NFA+DFA-cache (with prefilter),0,0.293,15.609,15.903,187632.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,DFA (with prefilter),0,0.384,0.893,1.276,300352.00,62,0.70
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),10240,min-DFA (with prefilter),0,1.646,0.615,2.261,637200.00,54,0.58
Edge Case - No Matches,xyz,10240,KMP,0,0.000,0.059,0.060,1264.00,,
Edge Case - No Matches,xyz,10240,Boyer-Moore,0,0.000,0.121,0.122,4656.00,,
Edge Case - No Matches,xyz,10240,NFA,0,0.055,3.457,3.512,8344.00,6,0.14
Edge Case - No Matches,xyz,10240,NFA+DFA-cache,0,0.033,5.200,5.233,8344.00,6,0.14
Edge Case - No Matches,xyz,10240,DFA,0,0.071,0.474,0.545,17832.00,4,0.10
Edge Case - No Matches,xyz,10240,min-DFA,0,0.147,0.568,0.715,33840.00,4,0.10
Edge Case - Many Matches,a,10240,KMP,409,0.000,0.077,0.077,42192.00,,
Edge Case - Many Matches,a,10240,Boyer-Moore,409,0.000,0.300,0.301,44664.00,,
Edge Case - Many Matches,a,10240,NFA,409,0.022,3.540,3.563,3664.00,2,0.07
Edge Case - Many Matches,a,10240,NFA+DFA-cache,409,0.019,5.645,5.664,2600.00,2,0.07
Edge Case - Many Matches,a,10240,DFA,409,0.045,0.523,0.569,7408.00,2,0.07
Edge Case - Many Matches,a,10240,min-DFA,409,0.080,0.502,0.582,13496.00,2,0.07
Edge Case - Universal Wildcard,.*,10240,NFA,205,0.037,7.037,7.074,5376.00,4,0.12
Edge Case - Universal Wildcard,.*,10240,NFA+DFA-cache,205,0.033,6.453,6.486,4192.00,4,0.12
Edge Case - Universal Wildcard,.*,10240,DFA,205,0.078,0.461,0.540,19832.00,2,0.09
Edge Case - Universal Wildcard,.*,10240,min-DFA,205,0.092,0.469,0.561,19416.00,1,0.07
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,NFA,0,0.150,10.343,10.493,105776.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,NFA+DFA-cache,0,0.135,20.229,20.365,104472.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,DFA,0,92.841,17.158,109.999,6738192.00,4097,133.04
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,min-DFA,0,487.292,16.936,504.228,13999832.00,4096,132.63
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,NFA (with prefilter),0,0.244,8.904,9.148,139136.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,NFA+DFA-cache (with prefilter),0,0.233,16.957,17.189,131848.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,DFA (with prefilter),0,92.133,14.005,106.139,6373216.00,4102,133.12
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),10240,min-DFA (with prefilter),0,488.418,13.803,502.221,14714792.00,4101,132.71
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,NFA,6,0.101,11.403,11.504,59088.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,NFA+DFA-cache,6,0.127,26.340,26.467,59088.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,DFA,6,0.405,0.583,0.988,123560.00,19,0.34
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,min-DFA,6,0.667,0.575,1.242,278656.00,16,0.30
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,NFA (with prefilter),6,0.159,1.262,1.420,80488.00,61,1.02
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,NFA+DFA-cache (with prefilter),6,0.170,1.191,1.362,77712.00,61,1.02
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,DFA (with prefilter),6,0.276,0.852,1.128,142552.00,38,0.44
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),10240,min-DFA (with prefilter),6,0.767,0.240,1.007,302896.00,35,0.39
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,Aho-Corasick,0,0.070,1.115,1.185,19008.00,23,0.09
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,NFA,0,0.180,9.034,9.214,77512.00,48,1.05
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,NFA+DFA-cache,0,0.100,17.685,17.785,69008.00,48,1.05
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,DFA,0,0.198,0.570,0.767,141208.00,23,0.41
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,min-DFA,0,0.836,0.546,1.382,354984.00,21,0.38
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,NFA (with prefilter),0,0.214,0.810,1.025,96528.00,71,1.14
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,NFA+DFA-cache (with prefilter),0,0.161,0.220,0.381,94712.00,71,1.14
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,DFA (with prefilter),0,0.376,0.820,1.197,167080.00,46,0.50
Performance - Sparse Matches,(rare|uncommon|infrequent),10240,min-DFA (with prefilter),0,0.900,0.257,1.157,376432.00,44,0.47
Performance - Dense Matches,(a|e|i|o|u),10240,Aho-Corasick,2320,0.027,1.733,1.759,5384.00,6,0.08
Performance - Dense Matches,(a|e|i|o|u),10240,NFA,2320,0.052,18.929,18.981,19760.00,18,0.42
Performance - Dense Matches,(a|e|i|o|u),10240,NFA+DFA-cache,2320,0.056,31.391,31.447,18096.00,18,0.42
Performance - Dense Matches,(a|e|i|o|u),10240,DFA,2320,0.120,0.634,0.754,46176.00,6,0.14
Performance - Dense Matches,(a|e|i|o|u),10240,min-DFA,2320,0.209,0.670,0.879,59064.00,2,0.10
Performance - Alternation vs Star,(abc|abd|abe)*,10240,NFA,10036,0.074,11.072,11.146,32072.00,24,0.54
Performance - Alternation vs Star,(abc|abd|abe)*,10240,NFA+DFA-cache,10036,0.058,30.451,30.509,30408.00,24,0.54
Performance - Alternation vs Star,(abc|abd|abe)*,10240,DFA,10036,0.140,0.900,1.040,66832.00,6,0.15
Performance - Alternation vs Star,(abc|abd|abe)*,10240,min-DFA,10036,0.256,0.758,1.014,89120.00,3,0.10
Short Literal - Small Text,abc,1024,KMP,0,0.000,0.012,0.013,1264.00,,
Short Literal - Small Text,abc,1024,Boyer-Moore,0,0.001,0.038,0.039,4080.00,,
Short Literal - Small Text,abc,1024,NFA,0,0.040,0.452,0.493,8344.00,6,0.14
Short Literal - Small Text,abc,1024,NFA+DFA-cache,0,0.044,0.730,0.774,8344.00,6,0.14
Short Literal - Small Text,abc,1024,DFA,0,0.091,0.082,0.173,17832.00,4,0.10
Short Literal - Small Text,abc,1024,min-DFA,0,0.137,0.088,0.225,33840.00,4,0.10
Short Literal - Large Text,the,1024,KMP,12,0.000,0.014,0.015,2296.00,,
Short Literal - Large Text,the,1024,Boyer-Moore,12,0.001,0.041,0.041,5048.00,,
Short Literal - Large Text,the,1024,NFA,12,0.036,0.515,0.550,8344.00,6,0.14
Short Literal - Large Text,the,1024,NFA+DFA-cache,12,0.040,0.785,0.824,8344.00,6,0.14
Short Literal - Large Text,the,1024,DFA,12,0.091,0.094,0.185,17832.00,4,0.10
Short Literal - Large Text,the,1024,min-DFA,12,0.133,0.088,0.220,33840.00,4,0.10
Long Literal - Small Text,abcdefghijklmnop,1024,KMP,0,0.000,0.012,0.013,1368.00,,
Long Literal - Small Text,abcdefghijklmnop,1024,Boyer-Moore,0,0.000,0.033,0.034,6464.00,,
Long Literal - Small Text,abcdefghijklmnop,1024,NFA,0,0.080,0.454,0.534,47576.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,1024,NFA+DFA-cache,0,0.071,0.755,0.825,47576.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,1024,DFA,0,0.184,0.102,0.287,95696.00,17,0.30
